,attribute,type,missing_or_unknown
204,KBA13_KMH_211,ordinal,-1
205,KBA13_KMH_250,ordinal,-1
206,KBA13_KMH_251,ordinal,-1
207,KBA13_KRSAQUOT,ordinal,-1
208,KBA13_KRSHERST_AUDI_VW,ordinal,-1
209,KBA13_KRSHERST_BMW_BENZ,ordinal,-1
210,KBA13_KRSHERST_FORD_OPEL,ordinal,-1
211,KBA13_KRSSEG_KLEIN,ordinal,-1
212,KBA13_KRSSEG_OBER,ordinal,-1
213,KBA13_KRSSEG_VAN,ordinal,-1
214,KBA13_KRSZUL_NEU,ordinal,-1
215,KBA13_KW_30,ordinal,-1
216,KBA13_KW_40,ordinal,-1
217,KBA13_KW_50,ordinal,-1
218,KBA13_KW_60,ordinal,-1
219,KBA13_KW_0_60,ordinal,-1
220,KBA13_KW_70,ordinal,-1
221,KBA13_KW_61_120,ordinal,-1
222,KBA13_KW_80,ordinal,-1
223,KBA13_KW_90,ordinal,-1
224,KBA13_KW_110,ordinal,-1
225,KBA13_KW_120,ordinal,-1
226,KBA13_KW_121,ordinal,-1
227,KBA13_MAZDA,ordinal,-1
228,KBA13_MERCEDES,ordinal,-1
229,KBA13_MOTOR,ordinal,-1
230,KBA13_NISSAN,ordinal,-1
231,KBA13_OPEL,ordinal,-1
232,KBA13_PEUGEOT,ordinal,-1
233,KBA13_RENAULT,ordinal,-1
234,KBA13_SEG_GELAENDEWAGEN,ordinal,-1
235,KBA13_SEG_GROSSRAUMVANS,ordinal,-1
236,KBA13_SEG_KLEINST,ordinal,-1
237,KBA13_SEG_KLEINWAGEN,ordinal,-1
238,KBA13_SEG_KOMPAKTKLASSE,ordinal,-1
239,KBA13_SEG_MINIVANS,ordinal,-1
240,KBA13_SEG_MINIWAGEN,ordinal,-1
241,KBA13_SEG_MITTELKLASSE,ordinal,-1
242,KBA13_SEG_OBEREMITTELKLASSE,ordinal,-1
243,KBA13_SEG_OBERKLASSE,ordinal,-1
244,KBA13_SEG_SONSTIGE,ordinal,-1
245,KBA13_SEG_SPORTWAGEN,ordinal,-1
246,KBA13_SEG_UTILITIES,ordinal,-1
247,KBA13_SEG_VAN,ordinal,-1
248,KBA13_SEG_WOHNMOBILE,ordinal,-1
249,KBA13_SITZE_4,ordinal,-1
250,KBA13_SITZE_5,ordinal,-1
251,KBA13_SITZE_6,ordinal,-1
252,KBA13_TOYOTA,ordinal,-1
253,KBA13_VORB_0,ordinal,-1
254,KBA13_VORB_1,ordinal,-1
255,KBA13_VORB_1_2,ordinal,-1
256,KBA13_VORB_2,ordinal,-1
257,KBA13_VORB_3,ordinal,-1
258,KBA13_VW,ordinal,-1
259,D19_BANKEN_DATUM,ordinal,
260,D19_BANKEN_OFFLINE_DATUM,ordinal,
261,D19_BANKEN_ONLINE_DATUM,ordinal,
262,D19_BANKEN_ONLINE_QUOTE_12,ordinal,
263,D19_GESAMT_DATUM,ordinal,
264,D19_GESAMT_OFFLINE_DATUM,ordinal,
265,D19_GESAMT_ONLINE_DATUM,ordinal,
266,D19_GESAMT_ONLINE_QUOTE_12,ordinal,
267,D19_KONSUMTYP,ordinal,
268,D19_TELKO_DATUM,ordinal,
269,D19_TELKO_OFFLINE_DATUM,ordinal,
270,D19_TELKO_ONLINE_DATUM,ordinal,
271,D19_VERSAND_DATUM,ordinal,
272,D19_VERSAND_OFFLINE_DATUM,ordinal,
273,D19_VERSAND_ONLINE_DATUM,ordinal,
274,D19_VERSAND_ONLINE_QUOTE_12,ordinal,
275,KBA05_AUTOQUOT,ordinal,
276,LNR,numeric,
277,AKT_DAT_KL,numeric,
278,ALTER_KIND1,numeric,
279,ALTER_KIND2,numeric,
280,ALTER_KIND3,numeric,
281,ALTER_KIND4,numeric,
282,ALTERSKATEGORIE_FEIN,numeric,
283,ANZ_KINDER,numeric,
284,ANZ_STATISTISCHE_HAUSHALTE,numeric,
285,CJT_KATALOGNUTZER,numeric,
286,CJT_TYP_1,numeric,
287,CJT_TYP_2,numeric,
288,CJT_TYP_3,numeric,
289,CJT_TYP_4,numeric,
290,CJT_TYP_5,numeric,
291,CJT_TYP_6,numeric,
292,D19_BANKEN_DIREKT,numeric,
293,D19_BANKEN_GROSS,numeric,
294,D19_BANKEN_LOKAL,numeric,
295,D19_BANKEN_REST,numeric,
296,D19_BEKLEIDUNG_GEH,numeric,
297,D19_BEKLEIDUNG_REST,numeric,
298,D19_BILDUNG,numeric,
299,D19_BIO_OEKO,numeric,
300,D19_BUCH_CD,numeric,
301,D19_DIGIT_SERV,numeric,
302,D19_DROGERIEARTIKEL,numeric,
303,D19_ENERGIE,numeric,
304,D19_FREIZEIT,numeric,
305,D19_GARTEN,numeric,
306,D19_HANDWERK,numeric,
307,D19_HAUS_DEKO,numeric,
308,D19_KINDERARTIKEL,numeric,
309,D19_KONSUMTYP_MAX,numeric,
310,D19_KOSMETIK,numeric,
311,D19_LEBENSMITTEL,numeric,
312,D19_LETZTER_KAUF_BRANCHE,categorical,
313,D19_LOTTO,numeric,
314,D19_NAHRUNGSERGAENZUNG,numeric,
315,D19_RATGEBER,numeric,
316,D19_REISEN,numeric,
317,D19_SAMMELARTIKEL,numeric,
318,D19_SCHUHE,numeric,
319,D19_SONSTIGE,numeric,
320,D19_SOZIALES,numeric,
321,D19_TECHNIK,numeric,
322,D19_TELKO_MOBILE,numeric,
323,D19_TELKO_ONLINE_QUOTE_12,numeric,
324,D19_TELKO_REST,numeric,
325,D19_TIERARTIKEL,numeric,
326,D19_VERSAND_REST,numeric,
327,D19_VERSI_DATUM,numeric,
328,D19_VERSI_OFFLINE_DATUM,numeric,
329,D19_VERSI_ONLINE_DATUM,numeric,
330,D19_VERSI_ONLINE_QUOTE_12,numeric,
331,D19_VERSICHERUNGEN,numeric,
332,D19_VOLLSORTIMENT,numeric,
333,D19_WEIN_FEINKOST,numeric,
334,DSL_FLAG,numeric,
335,EINGEFUEGT_AM,categorical,
336,EINGEZOGENAM_HH_JAHR,numeric,
337,EXTSEL992,numeric,
338,FIRMENDICHTE,numeric,
339,GEMEINDETYP,numeric,
340,HH_DELTA_FLAG,numeric,
341,KBA13_ANTG1,numeric,
342,KBA13_ANTG2,numeric,
343,KBA13_ANTG3,numeric,
344,KBA13_ANTG4,numeric,
345,KBA13_BAUMAX,numeric,
346,KBA13_CCM_1401_2500,numeric,
347,KBA13_GBZ,numeric,
348,KBA13_HHZ,numeric,
349,KBA13_KMH_210,numeric,
350,KOMBIALTER,numeric,
351,KONSUMZELLE,numeric,
352,MOBI_RASTER,numeric,
353,RT_KEIN_ANREIZ,numeric,
354,RT_SCHNAEPPCHEN,numeric,
355,RT_UEBERGROESSE,numeric,
356,STRUKTURTYP,numeric,
357,UMFELD_ALT,numeric,
358,UMFELD_JUNG,numeric,
359,UNGLEICHENN_FLAG,numeric,
360,VERDICHTUNGSRAUM,numeric,
361,VHA,numeric,
362,VHN,numeric,
363,VK_DHT4A,numeric,
364,VK_DISTANZ,numeric,
365,VK_ZG11,numeric,
